Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DataDrivenTestSuite,Chrome 73.0.3683.103,,2019-04-13 12:49:08,2019-04-13 12:49:26,17.410s,PASSED
,,,,,,
Test Cases/April13/DataDrivenTest,Chrome 73.0.3683.103,,2019-04-13 12:49:09,2019-04-13 12:49:25,16.913s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-13 12:49:10,2019-04-13 12:49:16,5.843s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com"")",Chrome 73.0.3683.103,,2019-04-13 12:49:16,2019-04-13 12:49:19,3.874s,PASSED
"setText(findTestObject(""Page_OrangeHRM/input_LOGIN Panel_txtUsername""), username)",Chrome 73.0.3683.103,,2019-04-13 12:49:19,2019-04-13 12:49:20,0.334s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Username_txtPassword""), password)",Chrome 73.0.3683.103,,2019-04-13 12:49:20,2019-04-13 12:49:20,0.294s,PASSED
"click(findTestObject(""Page_OrangeHRM/input_Password_Submit""))",Chrome 73.0.3683.103,,2019-04-13 12:49:20,2019-04-13 12:49:22,1.962s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,2019-04-13 12:49:22,2019-04-13 12:49:23,1.431s,PASSED
