Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestListener,,,2019-04-13 14:48:25,2019-04-13 14:48:29,3.366s,PASSED
,,,,,,
Test Cases/April13/TestListnerTestCase,,,2019-04-13 14:48:26,2019-04-13 14:48:29,2.586s,PASSED
Start listener action : sampleBeforeTestCase,,,2019-04-13 14:48:26,2019-04-13 14:48:26,0.015s,PASSED
Start setup action : setupTestCase,,,2019-04-13 14:48:26,2019-04-13 14:48:26,0.001s,PASSED
"println(""I am running sample test case"")",,,2019-04-13 14:48:27,2019-04-13 14:48:27,0.016s,PASSED
Start tear down : tearDownTestCase,,,2019-04-13 14:48:27,2019-04-13 14:48:27,0.000s,PASSED
Start listener action : sampleAfterTestCase,,,2019-04-13 14:48:27,2019-04-13 14:48:27,0.015s,PASSED
